2, 1, 19, 21, 1, 28, 0, 35, 23, -62, 15912, -58, 47071, 31, 6, 4
2, 1, 20, 21, 1, 28, 0, 35, 34, -62, 15913, -58, 47076, 22, 2, 5
2, 1, 21, 21, 1, 28, 0, 35, 45, -62, 15913, -58, 47078, 22, 1, 5
2, 1, 22, 21, 1, 28, 0, 35, 56, -62, 15913, -58, 47076, 21, 4, 5
2, 1, 23, 21, 1, 28, 0, 36, 6, -62, 15913, -58, 47076, 19, 8, 5
2, 1, 24, 21, 1, 28, 0, 36, 14, -62, 15913, -58, 47075, 20, 7, 5
2, 1, 25, 21, 1, 28, 0, 36, 25, -62, 15913, -58, 47077, 22, 5, 6
2, 1, 26, 21, 1, 28, 0, 36, 35, -62, 15911, -58, 47073, 28, 1, 6
2, 1, 27, 21, 1, 28, 0, 36, 46, -62, 15911, -58, 47071, 27, 4, 6
2, 1, 28, 21, 1, 28, 0, 36, 57, -62, 15910, -58, 47070, 25, 7, 6
2, 1, 29, 21, 1, 28, 0, 37, 8, -62, 15910, -58, 47069, 21, 2, 6
2, 1, 30, 21, 1, 28, 0, 37, 18, -62, 15909, -58, 47068, 14, 6, 6
2, 1, 31, 21, 1, 28, 0, 37, 29, -62, 15909, -58, 47068, 10, 2, 7
