2021-1-29T14:50:24,-62.16142,-58.48629,120.9
2021-1-29T14:50:34,-62.16150,-58.48646,122.2
2021-1-29T14:50:45,-62.16157,-58.48666,124.6
2021-1-29T14:50:55,-62.16166,-58.48684,125.1
2021-1-29T14:51:6,-62.16174,-58.48706,126.4
2021-1-29T14:51:17,-62.16182,-58.48727,127.0
2021-1-29T14:51:27,-62.16188,-58.48750,127.9
2021-1-29T14:51:38,-62.16196,-58.48773,129.0
2021-1-29T14:51:48,-62.16204,-58.48793,130.2
2021-1-29T14:51:59,-62.16212,-58.48815,132.2
2021-1-29T14:52:9,-62.16218,-58.48828,133.3
2021-1-29T14:52:20,-62.16226,-58.48848,134.8
2021-1-29T14:52:30,-62.16233,-58.48868,136.0
2021-1-29T14:52:41,-62.16239,-58.48889,138.7
2021-1-29T14:52:51,-62.16245,-58.48910,141.7
2021-1-29T14:53:2,-62.16248,-58.48918,143.2
2021-1-29T14:53:12,-62.16256,-58.48929,145.2
2021-1-29T14:53:23,-62.16264,-58.48944,147.1
2021-1-29T14:53:33,-62.16269,-58.48957,148.3
2021-1-29T14:53:44,-62.16271,-58.48962,149.0
2021-1-29T14:53:54,-62.16279,-58.48978,150.9
2021-1-29T14:54:5,-62.16287,-58.48994,152.6
2021-1-29T14:54:15,-62.16295,-58.49008,154.6
2021-1-29T14:54:26,-62.16301,-58.49027,156.4
2021-1-29T14:54:36,-62.16306,-58.49039,158.0
2021-1-29T14:54:47,-62.16310,-58.49047,159.8
2021-1-29T14:54:57,-62.16315,-58.49067,162.4
2021-1-29T14:55:8,-62.16321,-58.49091,164.4
2021-1-29T14:55:18,-62.16330,-58.49104,166.8
2021-1-29T14:55:29,-62.16340,-58.49118,169.1
2021-1-29T14:55:39,-62.16350,-58.49132,171.2
2021-1-29T14:55:50,-62.16355,-58.49139,170.8
2021-1-29T14:56:0,-62.16364,-58.49150,172.0
2021-1-29T14:56:11,-62.16375,-58.49163,173.6
2021-1-29T14:56:21,-62.16384,-58.49177,175.3
2021-1-29T14:56:32,-62.16392,-58.49198,176.5
2021-1-29T14:56:42,-62.16399,-58.49216,177.2
2021-1-29T14:56:53,-62.16408,-58.49237,177.0
2021-1-29T14:57:3,-62.16416,-58.49258,176.8
2021-1-29T14:57:14,-62.16423,-58.49282,176.3
2021-1-29T14:57:25,-62.16432,-58.49304,176.7
2021-1-29T14:57:35,-62.16439,-58.49325,177.3
2021-1-29T14:57:46,-62.16448,-58.49348,177.2
2021-1-29T14:57:56,-62.16456,-58.49365,177.8
2021-1-29T14:58:7,-62.16465,-58.49385,178.1
2021-1-29T14:58:17,-62.16475,-58.49402,178.0
2021-1-29T14:58:28,-62.16485,-58.49419,178.2
2021-1-29T14:58:38,-62.16494,-58.49434,178.0
2021-1-29T14:58:49,-62.16505,-58.49453,178.9
2021-1-29T14:58:59,-62.16514,-58.49471,178.6
2021-1-29T14:59:10,-62.16524,-58.49487,179.7
2021-1-29T14:59:20,-62.16534,-58.49501,180.8
2021-1-29T14:59:31,-62.16545,-58.49517,181.9
2021-1-29T14:59:41,-62.16553,-58.49533,182.7
2021-1-29T14:59:52,-62.16563,-58.49548,184.5
2021-1-29T15:0:2,-62.16571,-58.49559,186.6
2021-1-29T15:0:13,-62.16574,-58.49562,186.9
2021-1-29T15:0:23,-62.16582,-58.49570,188.4
